details,prix,superficie,nb_chambres,adresse
Grand et beau appartement meublé à louer,1800000,200 m²,3,"Plateau, Dakar"
Joli studio meublé climatisé à louer à nord foire,20000,100 m²,1,"Yoff, Dakar"
Location de chambres meublées à la cité Elisabeth,12500,150 m²,1,"Hann Bel-Air, Dakar"
Appartement meublé fass,35000,225 m²,2,"Fass, Dakar"
F2 chic avec toutes commodités,35000,55 m²,1,"Yoff, Dakar"
Studio meublé à ouest foire,20000,120 m²,1,"Yoff, Dakar"
Chambres meublées au point E,20000,20 m²,1,"Point-e, Dakar"
Studio américain meublé au Point E,32500,80 m²,1,"Point-e, Dakar"
Appart large et confort idéal pour famille/long sejour,40000,120 m²,2,"Yoff, Dakar"
APPARTEMENT MEUBLÉ ROND POINT JET D'EAU,23000,89 m²,2,"Liberte 1, Dakar"
APPARTEMENT MEUBLÉ 46m2 : LES DUNES SODIDA DAKAR,12000,46 m²,2,"Castor, Dakar"
Très grand studio meublé Almadies,700000,150 m²,1,"Almadies, Dakar"
Studio meublé,20000,140 m²,1,"Sicap Liberté, Dakar"
BEAU STUDIO F1 ORANGE SACRE COEUR 3 VDN,25000,39 m²,1,"Mermoz, Dakar"
Appart large et confort idéal pour famille/long sejour,40000,120 m²,2,"Yoff, Dakar"
APPARTEMENT MEUBLÉ À LOUER AU POINT E,75000,154 m²,3,"Point-e, Dakar"
APPARTEMENT MEUBLÉ À FANN RÉSIDENCE,50000,100 m²,1,"Fann, Dakar"
APPARTEMENT MEUBLÉ F4 A LOUER AU POINT E,1700000,156 m²,3,"Point-e, Dakar"
STUDIO MEUBLÉ À LOUER,25000,50 m²,1,"Sicap Liberté, Dakar"
Studio meublé Dakar,20000,90 m²,1,"Ngor, Dakar"
