details,prix,nb_chambres,adresse
Appartement T4 vue mer à louer Corniche Almadies,3000000,3,"Almadies, Dakar"
APPARTEMENT A LOUER AU CENTRE VILLE,1000000,3,"Plateau, Dakar"
Appartement f4 à louer à fann résidence,1700000,3,"Fann, Dakar"
Des apparts à louer aux Mamelles,300000,2,"Mamelles, Dakar"
Duplex à louer a yoff Onomo,2000000,5,"Yoff, Dakar"
APPARTEMENT A LOUER ROND POINT MAMELLES,1800000,3,"Mamelles, Dakar"
Bel appartement lumineux à louer a yoff Onomo,1500000,3,"Yoff, Dakar"
Appartements a louer,127500,3,"Almadies, Dakar"
Appartement F3 Cité Keur Gorgui,600000,3,"Patte d‘oie, Dakar"
Studio séparé à louer zone de recasement socabec,300000,1,"Almadies, Dakar"
Appartement F4 + chambre de service (250m2) à Fann Résidence,2850000,3,"Fann, Dakar"
Grand apt de luxe pour expatrié au mariste,600000,3,"Hann maristes, Dakar"
Appartement T4 vue mer à louer Corniche Almadies,3000000,3,"Almadies, Dakar"
APPARTEMENT A LOUER AU CENTRE VILLE,1000000,3,"Plateau, Dakar"
Studio meublé à dakar plateau,850000,1,"Plateau, Dakar"
Standing appartement aux almadie,950000,3,"Almadies, Dakar"
Standing duplex à louer à ngor,750000,5,"Ngor, Dakar"
Duplex F7 à louer à la Cité Mbackiyoufaye Faye,1500000,6,"Mamelles, Dakar"
APPARTEMENT A LOUER CORNICHE DES ALMADIES,2100000,4,"Almadies, Dakar"
Appartement à golf sud proche du plage malibu,250000,2,"Almadies, Dakar"
Appartement T4 vue mer à louer Corniche Almadies,3000000,3,"Almadies, Dakar"
Appartements Neufs à louer Mamelles,621000,3,"Mamelles, Dakar"
Bel appartement à louer aux Almadie,2000000,3,"Almadies, Dakar"
Appartement à louer à Yoff,1100000,4,"Yoff, Dakar"
Appartement vue mer F4 à louer virage,1500000,3,"Yoff, Dakar"
Appartement neuf à louer almadies,1600000,4,"Almadies, Dakar"
"Virage, appartement 2 chambres 2 salons",715000,2,"Virage, Dakar"
Deux chambres à louer par mois,280000,2,"Liberte 6, Dakar"
Appartement neuf à louer aux mamelle,800000,3,"Mamelles, Dakar"
Appartement T4 vue mer à louer Corniche Almadies,3000000,3,"Almadies, Dakar"
Appartements Neufs à louer Mamelles,621000,3,"Mamelles, Dakar"
Appartement F4 (3 Chambres) à Mermoz,1100000,3,"Mermoz, Dakar"
APPARTEMENT 02 CHAMNRES SALON A LOUER ALMADIES,500000,2,"Almadies, Dakar"
Appartement grand standing aux almadies,430000,3,"Almadies, Dakar"
Appartement RDC avec magasin,200000,2,"Rufisque, Dakar"
Appartements de 3chambres salon à Almadies 2,250000,3,"Almadies 2, Dakar"
Grand apt 03 ch salon 04 toilette au 4ème etage,300000,3,"Hann maristes, Dakar"
Appartement F3 standing à mermoz f,695500,2,"Mermoz, Dakar"
Bel appartement à louer aux Mamelles,650000,3,"Mamelles, Dakar"
Appartement à ngor,450000,3,"Ngor, Dakar"
Bel appartement vue sur mer au virage,1200000,3,"Virage, Dakar"
