details,prix,superficie,adresse
Programme immobilier Onyx Bambilor,10500000,150 m²,"Bambilor, Dakar"
Lots de parcelles TF à vendre à Kounoune Rufisque,24000000,160 m²,"Kounoune, Dakar"
TERRAIN COMMERCIAL EN VENTE A DIAMNIADIO,600000000,"10,000 m²","Diamniadio, Dakar"
Immeuble à vendre/ou à démolir( négociable) à dakar plateau,1000000000,500 m²,"Plateau, Dakar"
Terrain à vendre à Thiès,5900000,199 m²,"Thiès, Thiès"
Terrain à Bango,75000000,"2,820 m²","Saint-Louis, Saint-Louis"
A VENDRE TERRAINS 300 M2 BAIL GRAND SOMMONE,10000000,303 m²,"Somone, Thiès"
À démolir point E,750000,"1,526 m²","Point-e, Dakar"
Programme immobilier Onyx Bambilor,10500000,150 m²,"Bambilor, Dakar"
Terrain de 8800m2 à vendre aux iles saloum,37000,"8,800 m²","Ndangane, Sine saloum"
Lot de terrains à vendre aux îles du saloum,5000000,500 m²,"Ndangane, Sine saloum"
Terrain de 211 m2 TF à vendre aux maristes,115000000,211 m²,"Hann maristes, Dakar"
Terrain nu commercial à ouakam,300000000,327 m²,"Ouakam, Dakar"
Terrain de 315m2 à vendre à Guéréo à 500m de la plage,15000000,315 m²,"Guereo, Thiès"
Terrain 150m2 à Zac Mbao TF,25000000,150 m²,"Zac Mbao, Dakar"
TERRAIN 600M2 CLÔTURÉ A VENDRE,22000000,600 m²,"Toubab dialo, Dakar"
Terrain keur massar 172m2,11500000,172 m²,"Keur Massar, Dakar"
Terrains à vendre à Mbao Lotissements les Baobabs,32000000,150 m²,"Mbao, Dakar"
Terrain 2 hectares 800 noflaye,45000,"28,000 m²","Noflaye, Dakar"
TERRAIN DE 150 m2 ZAC MBAO,33000000,150 m²,"Zac Mbao, Dakar"
Terrains TF à vendre cité sapco keur massar,35000000,300 m²,"Keur Massar, Dakar"
Terrain à vendre à liberté 6 extension,125000000,160 m²,"Liberte 6 extension, Dakar"
170 m² à vendre Bambilor,7000000,170 m²,"Bambilor, Dakar"
Terrain 150 m2 Keur Massar Unite 6 - Zone habitée,13800000,150 m²,"Keur Massar, Dakar"
Diass - Terrain,4000000,225 m²,"Mbour, Thiès"
Terrain angle à vendre aux ALMADIES,1500000,500 m²,"Almadies, Dakar"
Programme immobilier Onyx Bambilor,10500000,150 m²,"Bambilor, Dakar"
Terrain à vendre à Grand Mbao TF,20000000,150 m²,"Mbao, Dakar"
TERRAIN A VENDRE,30,300 m²,"Niague, Dakar"
TERRAIN A VENDRE TOUBABE DIALAW,10,300 m²,"Toubab dialo, Dakar"
Terrains de 200 m2 à vendre Cité Nouvel Horizon,24000000,200 m²,"Keur ndiaye lô, Dakar"
Terrain tf ZAC mbao,30000000,150 m²,"Zac Mbao, Dakar"
Terrain très bien placé aux Recasement,135000000,264 m²,"Ngor, Dakar"
Terrain à vendre à Pout,4500000,180 m²,"Pout, Thiès"
Titre Foncier Almadies 2 - Rufisque - 162m2,30000000,162 m²,"Rufisque, Dakar"
Terrain 300 m2 Louga,1900000,300 m²,"Louga, Louga"
